date,min_edst,max_kp,category
2016-12-15,-10.374348958333334,1.0,quiet
2016-12-16,-9.247395833333334,1.0,quiet
2016-12-17,-16.3330078125,3.33,quiet
2016-12-18,-19.3046875,3.0,quiet
2016-12-19,-19.3037109375,2.0,quiet
2016-12-20,-15.5419921875,2.67,quiet
2016-12-21,-43.3486328125,6.0,disturbance
2016-12-22,-24.86328125,4.67,disturbance
2016-12-23,-34.5146484375,4.0,disturbance
2016-12-24,-20.087890625,3.33,quiet
2016-12-25,-28.720052083333332,4.0,disturbance
2016-12-26,-25.071614583333332,4.67,disturbance
2016-12-27,-25.662109375,3.67,quiet
2016-12-28,-14.5625,2.0,quiet
2016-12-29,-18.70703125,2.0,quiet
2016-12-30,-10.5078125,1.33,quiet
2016-12-31,-52.364583333333336,3.33,disturbance
2017-01-01,-29.712890625,3.67,quiet
2017-01-02,nan,2.33,missing
2017-01-03,-40.490234375,3.67,disturbance
2017-01-04,-28.7841796875,3.67,quiet
2017-01-05,-35.702473958333336,4.0,disturbance
2017-01-06,-27.5205078125,3.67,quiet
2017-01-07,-27.5734375,4.33,disturbance
2017-01-08,-21.9892578125,4.0,disturbance
2017-01-09,-19.025390625,3.33,quiet
2017-01-10,-15.678385416666666,3.67,quiet
2017-01-11,-16.309244791666668,2.67,quiet
2017-01-12,-14.251302083333334,2.33,quiet
2017-01-13,-16.28125,1.67,quiet
2017-01-14,-16.5263671875,1.67,quiet
2017-01-15,-10.4638671875,2.0,quiet
2017-01-16,-12.69140625,0.67,quiet
2017-01-17,-16.2001953125,2.0,quiet
2017-01-18,-38.3681640625,3.67,disturbance
2017-01-19,-25.1513671875,3.33,quiet
2017-01-20,-15.157924107142858,3.33,quiet
2017-01-21,-15.927734375,3.33,quiet
2017-01-22,-29.08203125,3.33,quiet
2017-01-23,-14.159375,2.0,quiet
2017-01-24,-9.0986328125,2.0,quiet
2017-01-25,-17.205078125,3.0,quiet
2017-01-26,-43.171875,3.67,disturbance
2017-01-27,-47.5888671875,4.33,disturbance
2017-01-28,-14.13671875,3.33,quiet
2017-01-29,-16.09375,2.67,quiet
2017-01-30,-19.420572916666668,2.67,quiet
2017-01-31,-43.972005208333336,4.67,disturbance
2017-02-01,nan,5.0,missing
2017-02-02,-23.81640625,4.33,disturbance
2017-02-03,-15.3447265625,4.33,disturbance
2017-02-04,-25.494140625,3.33,quiet
2017-02-05,-31.337890625,3.67,disturbance
