Date,Tmin_50-90N_K,T_90N_K,T_50N_K,T_60-90N_K,U_60N_m/s
2000-11-27,190.98,208.09,215.23,210.82,7.13
2000-11-28,189.84,205.68,216.37,209.86,8.72
2000-11-29,188.08,200.73,217.29,208.87,4.78
2000-11-30,186.36,204.09,220.08,208.2,6.17
2000-12-01,186.85,203.98,222.37,208.7,9.81
2000-12-02,190.01,202.64,224.2,209.56,16.31
2000-12-03,191.12,199.22,224.66,210.71,19.71
2000-12-04,189.44,198.03,225.64,211.6,22.72
2000-12-05,188.46,199.94,226.15,213.86,19.66
2000-12-06,187.9,204.98,226.93,216.92,17.89
2000-12-07,189.17,210.97,226.55,220.43,15.74
2000-12-08,191.29,216.41,225.03,222.6,12.06
2000-12-09,191.27,216.02,224.47,222.71,10.52
2000-12-10,193.78,216.13,224.36,222.52,12.88
2000-12-11,196.56,224.56,224.13,222.19,16.85
2000-12-12,198.88,221.66,224.7,220.82,18.07
2000-12-13,200.18,217.48,225.27,220.57,16.3
2000-12-14,199.02,216.6,224.69,221.18,13.57
2000-12-15,198.9,212.37,226.28,221.12,13.21
2000-12-16,198.33,207.12,227.29,221.14,14.92
2000-12-17,197.13,206.76,227.15,222.62,13.05
2000-12-18,194.98,221.34,226.05,225.03,10.72
2000-12-19,192.92,234.65,224.39,226.64,7.75
2000-12-20,190.61,244.66,223.2,226.42,7.9
2000-12-21,188.22,231.01,223.06,222.24,7.38
2000-12-22,187.82,219.09,222.55,218.72,7.36
2000-12-23,190.53,205.25,222.66,215.75,10.45
2000-12-24,189.74,198.67,222.56,213.59,13.73
2000-12-25,189.56,198.18,222.17,211.8,17.95
2000-12-26,187.56,200.98,221.24,210.61,21.44
2000-12-27,189.97,196.58,220.26,209.78,22.18
2000-12-28,190.92,200.02,219.22,209.09,21.02
2000-12-29,192.35,198.07,218.27,209.57,19.72
2000-12-30,190.55,200.8,217.44,209.52,19.46
2000-12-31,191.11,202.29,217.81,208.19,23.4
2001-01-01,191.9,197.52,217.69,206.86,26.34
2001-01-02,190.06,199.09,217.53,205.81,29.2
2001-01-03,188.82,194.76,217.94,204.86,30.56
2001-01-04,191.15,196.25,217.46,204.1,31.87
2001-01-05,189.03,193.55,217.06,203.87,33.43
2001-01-06,190.69,192.24,216.3,203.19,35.95
2001-01-07,188.99,193.41,215.86,202.24,37.39
2001-01-08,187.23,189.12,215.28,201.4,37.83
2001-01-09,188.1,192.63,215.1,201.64,37.21
2001-01-10,188.69,192.23,215.19,201.85,36.51
2001-01-11,187.9,191.51,214.97,201.11,36.34
2001-01-12,186.86,196.88,215.48,201.27,36.87
2001-01-13,186.81,196.23,216.34,201.57,37.14
2001-01-14,187.21,196.04,217.3,201.34,36.73
2001-01-15,186.59,194.69,219.09,201.69,36.78
2001-01-16,186.21,195.43,218.96,203.18,37.92
2001-01-17,190.91,195.04,219.02,205.68,35.44
2001-01-18,187.41,199.4,220.28,207.07,35.07
2001-01-19,187.05,196.99,221.8,208.72,34.37
2001-01-20,188.52,203.37,222.39,211.27,32.42
2001-01-21,188.94,205.37,223.11,212.27,31.7
2001-01-22,189.06,203.43,224.0,213.95,31.86
2001-01-23,191.43,208.85,225.83,215.08,31.58
2001-01-24,193.92,207.09,227.99,216.3,30.28
2001-01-25,196.18,207.15,229.82,217.98,30.72
2001-01-26,197.25,207.5,229.6,220.45,30.61
2001-01-27,196.66,213.38,229.06,222.14,28.32
