date,min_edst,max_kp,category
2019-02-25,-9.416666666666666,0.67,quiet
2019-02-26,-12.045572916666666,1.0,quiet
2019-02-27,nan,4.0,missing
2019-02-28,-21.55859375,4.67,disturbance
2019-03-01,-31.67578125,4.33,disturbance
2019-03-02,-22.787760416666668,4.0,disturbance
2019-03-03,-16.412109375,2.67,quiet
2019-03-04,-25.627511160714285,2.33,quiet
2019-03-05,-22.438802083333332,2.33,quiet
2019-03-06,-16.51640625,3.0,quiet
2019-03-07,-30.72900390625,2.67,disturbance
2019-03-08,-23.07373046875,2.67,quiet
2019-03-09,-15.87109375,2.33,quiet
2019-03-10,-20.462239583333332,2.33,quiet
2019-03-11,-17.666015625,1.33,quiet
2019-03-12,-19.7875,2.67,quiet
2019-03-13,-12.870442708333334,1.67,quiet
2019-03-14,-33.24140625,3.0,disturbance
2019-03-15,-38.046875,2.67,disturbance
2019-03-16,-42.768880208333336,4.67,disturbance
2019-03-17,-62.76171875,4.67,disturbance
2019-03-18,-9.048828125,0.67,quiet
2019-03-19,-21.525390625,2.67,quiet
2019-03-20,-12.949869791666666,1.67,quiet
2019-03-21,-9.654296875,1.0,quiet
2019-03-22,-7.0703125,0.67,quiet
2019-03-23,-8.2255859375,1.0,quiet
2019-03-24,-7.444010416666667,2.0,quiet
2019-03-25,-15.17890625,2.33,quiet
2019-03-26,-22.455078125,2.33,quiet
2019-03-27,-23.477864583333332,2.67,quiet
2019-03-28,-27.985026041666668,3.0,quiet
2019-03-29,-11.123697916666666,2.0,quiet
2019-03-30,-14.242838541666666,2.0,quiet
2019-03-31,-34.953125,3.67,disturbance
2019-04-01,-23.609375,2.67,quiet
2019-04-02,-12.05625,3.33,quiet
2019-04-03,-42.838541666666664,3.33,disturbance
2019-04-04,-39.20390625,3.67,disturbance
2019-04-05,-21.0046875,3.33,quiet
2019-04-06,-11.056640625,3.0,quiet
2019-04-07,-13.30078125,2.0,quiet
2019-04-08,-27.282552083333332,3.33,quiet
2019-04-09,-28.751953125,3.33,quiet
2019-04-10,-32.520182291666664,4.0,disturbance
2019-04-11,-13.62109375,2.67,quiet
2019-04-12,-16.468424479166668,3.0,quiet
2019-04-13,-14.926432291666666,3.0,quiet
2019-04-14,-10.543619791666666,1.67,quiet
2019-04-15,-16.10009765625,2.33,quiet
2019-04-16,-16.293619791666668,2.33,quiet
2019-04-17,-10.916015625,1.67,quiet
2019-04-18,-8.2640625,1.0,quiet
2019-04-19,-18.145182291666668,1.67,quiet
2019-04-20,-8.39453125,1.33,quiet
2019-04-21,-14.7529296875,1.67,quiet
2019-04-22,-8.5453125,1.33,quiet
2019-04-23,-39.779296875,3.33,disturbance
2019-04-24,-26.095703125,3.0,quiet
2019-04-25,-18.13203125,1.67,quiet
2019-04-26,-11.740234375,1.67,quiet
2019-04-27,-23.16796875,2.0,quiet
2019-04-28,-11.295572916666666,2.0,quiet
2019-04-29,-16.6982421875,2.0,quiet
2019-04-30,-16.37890625,1.67,quiet
2019-05-01,-24.426432291666668,4.0,disturbance
2019-05-02,-33.037109375,3.33,disturbance
2019-05-03,-20.213541666666668,2.67,quiet
2019-05-04,-16.223307291666668,2.67,quiet
2019-05-05,-14.526041666666666,1.33,quiet
2019-05-06,-14.229166666666666,1.67,quiet
2019-05-07,-15.869791666666666,2.0,quiet
2019-05-08,-8.944010416666666,1.0,quiet
2019-05-09,-16.896484375,2.33,quiet
2019-05-10,-37.708333333333336,3.0,disturbance
2019-05-11,-73.3234375,5.0,disturbance
2019-05-12,-26.6796875,1.67,quiet
2019-05-13,-19.867838541666668,2.67,quiet
2019-05-14,-38.482421875,6.33,disturbance
2019-05-15,-37.3701171875,2.33,disturbance
2019-05-16,-30.68359375,3.0,disturbance
2019-05-17,-29.8349609375,2.33,quiet
2019-05-18,-14.27001953125,2.0,quiet
2019-05-19,-13.214192708333334,1.67,quiet
2019-05-20,-25.8037109375,3.33,quiet
2019-05-21,-9.69921875,1.67,quiet
2019-05-22,nan,1.67,missing
2019-05-23,-32.9990234375,1.67,disturbance
2019-05-24,-21.28515625,1.67,quiet
2019-05-25,-10.826171875,1.67,quiet
2019-05-26,-7.58984375,3.0,quiet
2019-05-27,-23.251953125,3.33,quiet
2019-05-28,-12.143229166666666,3.0,quiet
2019-05-29,-28.94677734375,3.67,quiet
2019-05-30,-15.875651041666666,3.0,quiet
2019-05-31,-12.95654296875,1.67,quiet
2019-06-01,-7.646484375,1.0,quiet
2019-06-02,-14.100260416666666,2.0,quiet
2019-06-03,-14.190104166666666,1.33,quiet
2019-06-04,-29.652994791666668,2.33,quiet
2019-06-05,-19.429036458333332,2.33,quiet
2019-06-06,nan,0.67,missing
2019-06-07,-17.422526041666668,1.33,quiet
2019-06-08,-39.02890625,5.33,disturbance
2019-06-09,-26.811197916666668,3.0,quiet
2019-06-10,-10.955729166666666,0.67,quiet
2019-06-11,-12.274088541666666,0.67,quiet
2019-06-12,-10.086588541666666,1.33,quiet
2019-06-13,nan,4.0,missing
2019-06-14,-29.0078125,2.33,quiet
2019-06-15,nan,1.33,missing
2019-06-16,-14.207682291666666,1.33,quiet
2019-06-17,-14.257533482142858,1.0,quiet
2019-06-18,-12.267578125,1.33,quiet
2019-06-19,-10.302734375,1.0,quiet
2019-06-20,-20.339192708333332,2.33,quiet
2019-06-21,-11.1025390625,2.33,quiet
2019-06-22,-11.525390625,1.67,quiet
2019-06-23,-13.644205729166666,1.33,quiet
2019-06-24,nan,1.67,missing
2019-06-25,-13.068359375,1.33,quiet
2019-06-26,-18.017578125,1.67,quiet
2019-06-27,-19.871875,1.33,quiet
2019-06-28,-8.15234375,2.0,quiet
2019-06-29,-15.115234375,1.0,quiet
2019-06-30,-14.849609375,2.33,quiet
2019-07-01,-23.0517578125,3.0,quiet
2019-07-02,-19.078125,2.0,quiet
2019-07-03,-9.4609375,1.33,quiet
2019-07-04,-14.1390625,2.33,quiet
2019-07-05,-9.5712890625,1.67,quiet
2019-07-06,-10.9052734375,1.0,quiet
2019-07-07,-16.4609375,1.67,quiet
2019-07-08,nan,3.67,missing
2019-07-09,-20.708984375,5.0,disturbance
2019-07-10,-38.52734375,4.67,disturbance
2019-07-11,nan,3.0,missing
2019-07-12,-15.1984375,2.0,quiet
2019-07-13,-14.3828125,2.33,quiet
2019-07-14,-9.557942708333334,2.33,quiet
2019-07-15,-20.361328125,2.67,quiet
2019-07-16,-75.5505599975586,1.67,disturbance
2019-07-17,-12.4453125,2.33,quiet
2019-07-18,-11.016927083333334,1.33,quiet
2019-07-19,-9.634114583333334,1.0,quiet
2019-07-20,-8.860677083333334,0.67,quiet
2019-07-21,-20.83203125,3.67,quiet
