Date,Category,Diff
2016-10-27,disturbance,nan
2016-10-28,disturbance,nan
2016-10-29,disturbance,53.89
2016-10-30,disturbance,51.31999999999999
2016-10-31,normal,82.16
2016-11-01,disturbance,64.64000000000001
2016-11-02,disturbance,51.230000000000004
2016-11-03,disturbance,22.539999999999992
2016-11-04,normal,13.159999999999997
2016-11-05,normal,62.75
2016-11-06,normal,79.88
2016-11-07,normal,58.19
2016-11-08,peculiar,4.969999999999999
2016-11-09,disturbance,-19.96
2016-11-10,disturbance,39.900000000000006
2016-11-11,disturbance,-5.120000000000001
2016-11-12,disturbance,33.49999999999999
2016-11-13,disturbance,42.8
2016-11-14,missing,nan
2016-11-15,normal,34.28999999999999
2016-11-16,normal,25.870000000000005
2016-11-17,normal,40.32000000000001
2016-11-18,normal,38.029999999999994
2016-11-19,normal,60.96000000000001
2016-11-20,normal,49.81
2016-11-21,peculiar,4.899999999999999
2016-11-22,disturbance,49.169999999999995
2016-11-23,disturbance,53.839999999999996
2016-11-24,disturbance,62.81
2016-11-25,disturbance,34.559999999999995
2016-11-26,normal,74.11
2016-11-27,peculiar,-3.4700000000000024
2016-11-28,normal,35.209999999999994
2016-11-29,normal,32.339999999999996
2016-11-30,normal,46.42
2016-12-01,normal,65.32
2016-12-02,normal,34.41
2016-12-03,normal,60.86
2016-12-04,normal,77.36
2016-12-05,normal,54.44
2016-12-06,disturbance,72.32
2016-12-07,normal,79.97999999999999
2016-12-08,disturbance,62.43
2016-12-09,disturbance,70.72
2016-12-10,disturbance,9.259999999999998
2016-12-11,disturbance,27.65
2016-12-12,peculiar,4.759999999999998
2016-12-13,normal,29.619999999999997
2016-12-14,normal,41.57000000000001
2016-12-15,normal,62.97
2016-12-16,normal,66.78
2016-12-17,normal,69.94999999999999
2016-12-18,normal,80.35000000000001
2016-12-19,normal,71.63999999999999
2016-12-20,normal,84.83
2016-12-21,disturbance,70.28
2016-12-22,disturbance,62.230000000000004
2016-12-23,disturbance,64.09
2016-12-24,normal,60.980000000000004
2016-12-25,disturbance,nan
2016-12-26,disturbance,62.1
2016-12-27,normal,76.21000000000001
2016-12-28,normal,17.77
2016-12-29,normal,49.41
2016-12-30,missing,nan
2016-12-31,disturbance,nan
